#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.13.0-git5456bd25a7', start_date='2021-09-29T15:15:31', checksum=1879627532, kind='mean', investigation_time=1.0, imt='SA(0.1)'"
lon,lat,depth,poe-0.0050000,poe-0.0070015,poe-0.0098041,poe-0.0137286,poe-0.0192240,poe-0.0269192,poe-0.0376948,poe-0.0527836,poe-0.0739125,poe-0.1034991,poe-0.1449289,poe-0.2029427,poe-0.2841789,poe-0.3979333,poe-0.5572227,poe-0.7802743,poe-1.0926116,poe-1.5299748,poe-2.1424109,poe-3.0000000
100.99339,28.47787,0.00000,8.148180E-03,5.079705E-03,3.037454E-03,1.749935E-03,9.756794E-04,5.286579E-04,2.802585E-04,1.474444E-04,7.856515E-05,4.312288E-05,2.446795E-05,1.415721E-05,8.148107E-06,4.531182E-06,2.357229E-06,1.106335E-06,4.486816E-07,1.499435E-07,3.929516E-08,6.355954E-09
100.99359,28.61277,0.00000,1.034815E-02,6.567456E-03,3.985127E-03,2.320027E-03,1.301656E-03,7.069057E-04,3.740180E-04,1.950996E-04,1.025709E-04,5.549070E-05,3.127065E-05,1.828195E-05,1.093716E-05,6.588230E-06,3.927416E-06,2.260654E-06,1.211433E-06,5.781409E-07,2.350062E-07,7.862379E-08
100.99379,28.74767,0.00000,1.285334E-02,8.302679E-03,5.117882E-03,3.016492E-03,1.706722E-03,9.310705E-04,4.927010E-04,2.556603E-04,1.327612E-04,7.073577E-05,3.937341E-05,2.299685E-05,1.398940E-05,8.783042E-06,5.643422E-06,3.650256E-06,2.285568E-06,1.307286E-06,6.429840E-07,2.582602E-07
100.99399,28.88256,0.00000,1.559858E-02,1.024464E-02,6.412886E-03,3.829497E-03,2.187710E-03,1.200879E-03,6.369746E-04,3.296926E-04,1.695826E-04,8.910379E-05,4.889506E-05,2.829625E-05,1.719663E-05,1.083032E-05,6.902869E-06,4.281407E-06,2.455273E-06,1.237057E-06,5.245717E-07,1.802390E-07
100.99419,29.01746,0.00000,1.851844E-02,1.233163E-02,7.820687E-03,4.724781E-03,2.723841E-03,1.504744E-03,8.007363E-04,4.141605E-04,2.116682E-04,1.098979E-04,5.941091E-05,3.380016E-05,2.005559E-05,1.208921E-05,7.147751E-06,4.000058E-06,2.059160E-06,9.553008E-07,3.918881E-07,1.363134E-07
100.99439,29.15236,0.00000,2.149728E-02,1.447030E-02,9.269925E-03,5.650714E-03,3.281358E-03,1.821507E-03,9.718025E-04,5.023288E-04,2.554761E-04,1.312865E-04,6.988962E-05,3.883215E-05,2.211802E-05,1.241323E-05,6.578294E-06,3.186541E-06,1.391098E-06,5.416602E-07,1.833689E-07,5.240366E-08
100.99460,29.28726,0.00000,2.441167E-02,1.654155E-02,1.066108E-02,6.532045E-03,3.808555E-03,2.118458E-03,1.130664E-03,5.837812E-04,2.955886E-04,1.505639E-04,7.892526E-05,4.267310E-05,2.319861E-05,1.209848E-05,5.760908E-06,2.396398E-06,8.403780E-07,2.363964E-07,4.876895E-08,6.803518E-09
100.99480,29.42216,0.00000,2.715627E-02,1.845130E-02,1.191326E-02,7.305643E-03,4.259728E-03,2.367012E-03,1.260444E-03,6.487230E-04,3.266816E-04,1.650283E-04,8.521503E-05,4.482590E-05,2.338129E-05,1.156710E-05,5.222632E-06,2.086431E-06,7.236790E-07,2.129168E-07,5.274846E-08,1.018712E-08
100.99501,29.55705,0.00000,2.963809E-02,2.010310E-02,1.294433E-02,7.910321E-03,4.593897E-03,2.541555E-03,1.346832E-03,6.897161E-04,3.452618E-04,1.730807E-04,8.813918E-05,4.527820E-05,2.294800E-05,1.114543E-05,5.158047E-06,2.322274E-06,1.061023E-06,5.006561E-07,2.303596E-07,9.366548E-08
100.99522,29.69195,0.00000,3.169807E-02,2.140138E-02,1.369925E-02,8.315356E-03,4.795550E-03,2.635197E-03,1.387540E-03,7.061193E-04,3.513984E-04,1.749888E-04,8.805181E-05,4.451942E-05,2.230014E-05,1.094583E-05,5.324426E-06,2.594060E-06,1.251605E-06,5.695490E-07,2.272151E-07,7.338957E-08
